,region,type,posting_date,count
47326,rochester,coupe,2021-04-04 00:00:00+00:00,4
13306,dayton / springfield,sedan,2021-04-04 00:00:00+00:00,4
1590,anchorage / mat-su,wagon,2021-04-04 00:00:00+00:00,1
13367,dayton / springfield,van,2021-04-04 00:00:00+00:00,1
36157,missoula,SUV,2021-04-04 00:00:00+00:00,1
60175,visalia-tulare,SUV,2021-04-04 00:00:00+00:00,4
13415,daytona beach,SUV,2021-04-04 00:00:00+00:00,3
13475,daytona beach,coupe,2021-04-04 00:00:00+00:00,2
51941,skagit / island / SJI,sedan,2021-04-04 00:00:00+00:00,1
13502,daytona beach,hatchback,2021-04-04 00:00:00+00:00,2
60137,victoria,sedan,2021-04-04 00:00:00+00:00,2
13540,daytona beach,offroad,2021-04-04 00:00:00+00:00,1
13543,daytona beach,other,2021-04-04 00:00:00+00:00,1
46030,redding,hatchback,2021-04-04 00:00:00+00:00,2
13562,daytona beach,pickup,2021-04-04 00:00:00+00:00,1
13593,daytona beach,sedan,2021-04-04 00:00:00+00:00,2
13624,daytona beach,truck,2021-04-04 00:00:00+00:00,1
52013,south bend / michiana,SUV,2021-04-04 00:00:00+00:00,5
13654,daytona beach,van,2021-04-04 00:00:00+00:00,1
60094,victoria,hatchback,2021-04-04 00:00:00+00:00,1
13678,daytona beach,wagon,2021-04-04 00:00:00+00:00,1
13702,decatur,SUV,2021-04-04 00:00:00+00:00,1
1541,anchorage / mat-su,truck,2021-04-04 00:00:00+00:00,1
13735,decatur,hatchback,2021-04-04 00:00:00+00:00,1
35787,merced,sedan,2021-04-04 00:00:00+00:00,2
52056,south bend / michiana,coupe,2021-04-04 00:00:00+00:00,2
60206,visalia-tulare,convertible,2021-04-04 00:00:00+00:00,1
13780,decatur,sedan,2021-04-04 00:00:00+00:00,2
60218,visalia-tulare,coupe,2021-04-04 00:00:00+00:00,2
51807,siskiyou county,sedan,2021-04-04 00:00:00+00:00,1
12826,cumberland valley,hatchback,2021-04-04 00:00:00+00:00,1
12864,cumberland valley,sedan,2021-04-04 00:00:00+00:00,2
60387,waco,SUV,2021-04-04 00:00:00+00:00,3
60371,visalia-tulare,van,2021-04-04 00:00:00+00:00,1
60343,visalia-tulare,truck,2021-04-04 00:00:00+00:00,1
45972,redding,convertible,2021-04-04 00:00:00+00:00,1
51728,sioux falls / SE SD,sedan,2021-04-04 00:00:00+00:00,1
60312,visalia-tulare,sedan,2021-04-04 00:00:00+00:00,6
25944,iowa city,sedan,2021-04-04 00:00:00+00:00,2
36446,mobile,sedan,2021-04-04 00:00:00+00:00,3
12999,danville,coupe,2021-04-04 00:00:00+00:00,1
13012,danville,hatchback,2021-04-04 00:00:00+00:00,2
13027,danville,other,2021-04-04 00:00:00+00:00,1
13062,danville,sedan,2021-04-04 00:00:00+00:00,1
51757,sioux falls / SE SD,truck,2021-04-04 00:00:00+00:00,1
60265,visalia-tulare,other,2021-04-04 00:00:00+00:00,1
13117,dayton / springfield,SUV,2021-04-04 00:00:00+00:00,2
1621,ann arbor,SUV,2021-04-04 00:00:00+00:00,8
13172,dayton / springfield,coupe,2021-04-04 00:00:00+00:00,1
64489,youngstown,sedan,2021-04-04 00:00:00+00:00,4
60239,visalia-tulare,hatchback,2021-04-04 00:00:00+00:00,2
36293,missoula,truck,2021-04-04 00:00:00+00:00,1
13203,dayton / springfield,hatchback,2021-04-04 00:00:00+00:00,2
45999,redding,coupe,2021-04-04 00:00:00+00:00,3
36262,missoula,sedan,2021-04-04 00:00:00+00:00,4
13249,dayton / springfield,other,2021-04-04 00:00:00+00:00,1
12789,cumberland valley,SUV,2021-04-04 00:00:00+00:00,1
60061,victoria,SUV,2021-04-04 00:00:00+00:00,1
35767,merced,pickup,2021-04-04 00:00:00+00:00,1
59816,vermont,convertible,2021-04-04 00:00:00+00:00,1
35373,memphis,hatchback,2021-04-04 00:00:00+00:00,1
14332,des moines,sedan,2021-04-04 00:00:00+00:00,8
1455,anchorage / mat-su,other,2021-04-04 00:00:00+00:00,1
35345,memphis,coupe,2021-04-04 00:00:00+00:00,4
35333,memphis,bus,2021-04-04 00:00:00+00:00,1
14415,des moines,wagon,2021-04-04 00:00:00+00:00,2
59782,vermont,SUV,2021-04-04 00:00:00+00:00,5
35302,memphis,SUV,2021-04-04 00:00:00+00:00,3
52211,south bend / michiana,van,2021-04-04 00:00:00+00:00,1
47747,rockford,sedan,2021-04-04 00:00:00+00:00,6
46114,redding,pickup,2021-04-04 00:00:00+00:00,3
59755,ventura county,wagon,2021-04-04 00:00:00+00:00,2
35277,medford-ashland,wagon,2021-04-04 00:00:00+00:00,1
52224,south bend / michiana,wagon,2021-04-04 00:00:00+00:00,1
14525,dothan,SUV,2021-04-04 00:00:00+00:00,4
35228,medford-ashland,truck,2021-04-04 00:00:00+00:00,20
14542,dothan,coupe,2021-04-04 00:00:00+00:00,1
59669,ventura county,sedan,2021-04-04 00:00:00+00:00,16
35196,medford-ashland,sedan,2021-04-04 00:00:00+00:00,5
52243,south coast,SUV,2021-04-04 00:00:00+00:00,1
64544,youngstown,van,2021-04-04 00:00:00+00:00,1
14595,dothan,sedan,2021-04-04 00:00:00+00:00,1
35165,medford-ashland,pickup,2021-04-04 00:00:00+00:00,1
14635,dubuque,SUV,2021-04-04 00:00:00+00:00,1
14302,des moines,pickup,2021-04-04 00:00:00+00:00,1
46059,redding,mini-van,2021-04-04 00:00:00+00:00,1
35410,memphis,other,2021-04-04 00:00:00+00:00,1
52157,south bend / michiana,sedan,2021-04-04 00:00:00+00:00,10
35740,merced,other,2021-04-04 00:00:00+00:00,2
60016,vermont,van,2021-04-04 00:00:00+00:00,1
35719,merced,hatchback,2021-04-04 00:00:00+00:00,2
13878,delaware,SUV,2021-04-04 00:00:00+00:00,4
13910,delaware,convertible,2021-04-04 00:00:00+00:00,1
35662,merced,SUV,2021-04-04 00:00:00+00:00,4
13949,delaware,hatchback,2021-04-04 00:00:00+00:00,1
35654,mendocino county,van,2021-04-04 00:00:00+00:00,1
13973,delaware,other,2021-04-04 00:00:00+00:00,2
1510,anchorage / mat-su,sedan,2021-04-04 00:00:00+00:00,1
52109,south bend / michiana,other,2021-04-04 00:00:00+00:00,1
14016,delaware,sedan,2021-04-04 00:00:00+00:00,5
35609,mendocino county,sedan,2021-04-04 00:00:00+00:00,4
59956,vermont,sedan,2021-04-04 00:00:00+00:00,5
14047,delaware,truck,2021-04-04 00:00:00+00:00,1
46086,redding,other,2021-04-04 00:00:00+00:00,3
59901,vermont,other,2021-04-04 00:00:00+00:00,12
35534,memphis,wagon,2021-04-04 00:00:00+00:00,1
52133,south bend / michiana,pickup,2021-04-04 00:00:00+00:00,1
35517,memphis,van,2021-04-04 00:00:00+00:00,1
14142,des moines,SUV,2021-04-04 00:00:00+00:00,4
59859,vermont,hatchback,2021-04-04 00:00:00+00:00,1
1480,anchorage / mat-su,pickup,2021-04-04 00:00:00+00:00,1
14201,des moines,coupe,2021-04-04 00:00:00+00:00,1
35465,memphis,sedan,2021-04-04 00:00:00+00:00,11
59836,vermont,coupe,2021-04-04 00:00:00+00:00,1
12727,corvallis/albany,truck,2021-04-04 00:00:00+00:00,2
60446,waco,hatchback,2021-04-04 00:00:00+00:00,2
12695,corvallis/albany,sedan,2021-04-04 00:00:00+00:00,2
51369,sierra vista,coupe,2021-04-04 00:00:00+00:00,1
60909,watertown,other,2021-04-04 00:00:00+00:00,1
11488,columbia,coupe,2021-04-04 00:00:00+00:00,2
1818,ann arbor,van,2021-04-04 00:00:00+00:00,1
37531,morgantown,coupe,2021-04-04 00:00:00+00:00,1
11515,columbia,hatchback,2021-04-04 00:00:00+00:00,1
64422,youngstown,hatchback,2021-04-04 00:00:00+00:00,2
60893,watertown,hatchback,2021-04-04 00:00:00+00:00,2
11545,columbia,other,2021-04-04 00:00:00+00:00,2
37507,morgantown,SUV,2021-04-04 00:00:00+00:00,3
51383,sierra vista,hatchback,2021-04-04 00:00:00+00:00,1
37500,montgomery,van,2021-04-04 00:00:00+00:00,1
60876,watertown,coupe,2021-04-04 00:00:00+00:00,1
11600,columbia,sedan,2021-04-04 00:00:00+00:00,5
37460,montgomery,sedan,2021-04-04 00:00:00+00:00,2
11657,columbia,van,2021-04-04 00:00:00+00:00,1
11677,columbia,wagon,2021-04-04 00:00:00+00:00,1
11693,columbia / jeff city,SUV,2021-04-04 00:00:00+00:00,5
11724,columbia / jeff city,convertible,2021-04-04 00:00:00+00:00,1
1787,ann arbor,truck,2021-04-04 00:00:00+00:00,1
37383,montgomery,coupe,2021-04-04 00:00:00+00:00,1
45879,reading,sedan,2021-04-04 00:00:00+00:00,4
11770,columbia / jeff city,hatchback,2021-04-04 00:00:00+00:00,1
37352,montgomery,SUV,2021-04-04 00:00:00+00:00,3
60817,waterloo / cedar falls,truck,2021-04-04 00:00:00+00:00,1
37550,morgantown,hatchback,2021-04-04 00:00:00+00:00,1
37325,monterey bay,van,2021-04-04 00:00:00+00:00,2
11473,columbia,convertible,2021-04-04 00:00:00+00:00,1
11441,columbia,SUV,2021-04-04 00:00:00+00:00,4
11072,college station,other,2021-04-04 00:00:00+00:00,2
37867,muncie / anderson,coupe,2021-04-04 00:00:00+00:00,1
45813,reading,hatchback,2021-04-04 00:00:00+00:00,2
11105,college station,sedan,2021-04-04 00:00:00+00:00,2
37836,muncie / anderson,SUV,2021-04-04 00:00:00+00:00,2
